Name;Date;Value
AIR_0123_945_05_TE;17/09/2022 21:12:50;20.71
AIR_0123_945_05_TE;17/09/2022 21:12:52;20.71
AIR_0123_945_05_TE;17/09/2022 21:12:54;20.72
AIR_0123_945_05_TE;17/09/2022 21:12:56;20.7
AIR_0123_945_05_TE;17/09/2022 21:12:58;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:00;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:02;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:04;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:06;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:08;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:10;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:12;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:14;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:16;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:18;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:20;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:22;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:24;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:26;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:28;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:30;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:32;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:34;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:36;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:38;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:40;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:42;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:44;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:46;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:48;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:50;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:52;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:54;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:56;20.7
AIR_0123_945_05_TE;17/09/2022 21:13:58;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:00;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:02;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:04;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:06;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:08;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:10;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:12;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:14;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:16;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:18;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:20;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:22;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:24;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:26;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:28;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:30;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:32;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:34;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:36;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:38;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:40;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:42;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:44;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:46;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:48;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:50;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:52;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:54;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:56;20.7
AIR_0123_945_05_TE;17/09/2022 21:14:58;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:00;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:02;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:04;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:06;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:08;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:10;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:12;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:14;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:16;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:18;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:20;20.7
AIR_0123_945_05_TE;17/09/2022 21:15:22;20.7
